solution_name,train_perplexity,val_perplexity,train_loss,val_loss,overall_bleu,n1_bleu,n2_bleu,n3_bleu,n4_bleu,acc_bleu
conv_lstm_logits_transfer_learning_w2v_fixed_size_attention_emotions_logs,26.8120174407959,47.18865585327149,3.275822877883911,3.813877820968628,1.1132302415188895,21.41169189263322,8.343315699327185,3.716824952642756,0.8462457285980067,1.1132302415188895
conv_lstm_autoenc_transfer_learning_w2v_fixed_size_attention_emotions_logs,13.056757926940918,34.443466186523445,2.561194658279419,3.505300283432007,0.3138177093143857,16.144846011379222,3.9894224188687586,0.9307248036093811,0.2109259412334341,0.3138177093143857
conv_lstm_logits_resnet_transfer_learning_w2v_fixed_size_emotions_logs,9.879343032836914,33.333202362060554,2.2810096740722656,3.4695870876312256,5.890362543912954,29.65058139307125,14.66633850351536,8.154529795180661,5.169672531174554,5.890362543912954
conv_lstm_enc_dec_logits_transfer_w2v_resnet_learning_dynamic_length_logs,1.0003057718276978,208.17535400390625,0.0003058139409404248,5.338380813598633,0.0900314543338388,12.099243446483026,3.0131124532899136,0.36443533705408826,0.052083333333333336,0.0900314543338388
conv_lstm_transfer_learning_w2v_autoenc_fixed_size_logs,13.01669979095459,31.51609230041504,2.5568835735321045,3.413003206253052,3.6858330615437485,27.386218169114066,12.368254427862613,5.8969729450028705,3.238259438268328,3.6858330615437485
conv_lstm_autoenc_transfer_learning_w2v_fixed_size_emotions_logs,12.81876277923584,30.93006134033203,2.5418641567230225,3.3962252140045166,4.086167688083274,27.73254040693212,12.72749488618554,6.060993013119432,3.5637802716016607,4.086167688083274
conv_lstm_logits_transfer_learning_w2v_fixed_size_attention_logs,26.32253837585449,53.64448165893555,3.2614612579345703,3.951226234436035,0.723539284274746,14.071945573539589,3.947516360219264,1.0339381013435467,0.4988585439539078,0.723539284274746
conv_lstm_enc_dec_logits_transfer_w2v_resnet_learning_dynamic_length_weights_logs,1.0331432819366455,131.00532531738278,0.03260593116283417,4.875237941741943,5.90266236875092e-78,4.51353852660964,1.201231178951164,0.36967659870695946,2.747986701124755e-307,5.90266236875092e-78
conv_lstm_logits_resnet_transfer_learning_w2v_fixed_size_emotions_gender_logs,8.893177032470703,33.21985626220703,2.1764204502105717,3.466691732406616,5.008260833472769,28.908530208795753,13.598964528691347,7.358342629079512,4.348002669373463,5.008260833472769
conv_lstm_enc_dec_logs,13.693373680114744,41.3486442565918,2.606022596359253,3.6645171642303462,2.58834007741964,21.541278226121374,8.981473245647438,4.651339910644379,2.187939720353854,2.58834007741964
conv_lstm_logits_transfer_learning_w2v_resnet_fixed_size_logs,12.319972038269045,31.76227760314941,2.5065290927886963,3.4362866878509517,5.551712073274831,30.202638390826348,15.053846378846162,8.179441339823944,4.7601584547629985,5.551712073274831
conv_lstm_transfer_learning_w2v_autoenc_fixed_size_attention_logs,29.34189796447754,53.45560073852539,3.3692901134490967,3.9493601322174072,0.08218709737273294,13.776217548716652,4.062222474965052,0.8252221455350156,0.04340277777777778,0.08218709737273294
conv_lstm_transfer_learning_w2v_resnet_fixed_size_logs,8.297163009643555,34.36389541625977,2.1037542819976807,3.497456312179565,5.018269089211898,28.189315552410264,13.079273853067358,6.977632991664452,4.506351558831478,5.018269089211898
